Epoch time,Latitude,Longitude,Pressure (Pa),Radiation (cps)
1682782826.8174503,37.864146,-122.314113,-54.87825618124049,26.6
1682782832.35939,37.864145,-122.314111,-55.11762860621364,24.8
1682782838.0027902,37.864145,-122.314121,-55.35977844819567,22.4
1682782843.4312057,37.864178,-122.314155,-54.95864261076933,24.2
1682782848.7328446,37.86416,-122.314125,-54.90487336569113,26.8
1682782854.023694,37.864153,-122.314129,-54.89560922928656,23.6
1682782859.3261518,37.864148,-122.314135,-54.870883179860556,21.4
1682782864.7008011,37.864123,-122.314151,-54.92216365545592,24.6
1682782870.0410633,37.864096,-122.314166,-54.93703803899801,22.8
1682782875.6672225,37.864071,-122.314163,-55.041070156223185,19.6
1682782881.0800297,37.864071,-122.314165,-54.996616007637996,22.4
1682782886.4205694,37.864124,-122.31416,-54.85652496402507,23.4
1682782891.819075,37.864203,-122.314121,-55.21507367769308,23.4
1682782897.182415,37.864208,-122.31411,-55.479332481739235,21.6
1682782902.5552053,37.864216,-122.314108,-55.3784676534369,22.8
1682782907.979486,37.864224,-122.314103,-55.37306252882337,25.6
1682782913.3512952,37.864231,-122.3141,-55.381924490566604,23.6
1682782918.7707615,37.864243,-122.314101,-55.2417483587471,24.2
1682782924.156048,37.864245,-122.314101,-54.45559328597177,24.2
1682782929.6259387,37.864246,-122.314103,-54.531434565279056,23.6
1682782935.1724217,37.864248,-122.314108,-54.60714538649712,26.8
1682782940.6661258,37.86418,-122.314083,-54.48522571874257,22.4
1682782946.1804786,37.864053,-122.314066,-54.24841694459752,24.4
1682782951.616632,37.863928,-122.314033,-54.156138765564364,23.8
1682782957.1566198,37.864039,-122.313803,-53.91310501175616,22.6
1682782962.5867403,37.864048,-122.313843,-53.846386177223785,21.2
1682782968.0498447,37.86408,-122.313898,-53.79203615318795,26.6
1682782973.4960668,37.864076,-122.313946,-53.83422016795009,24.2
1682782978.9855766,37.864005,-122.314033,-53.66238021311926,29.8
1682782984.4720385,37.864058,-122.31411,-53.606865127526895,33.4
1682782989.9420865,37.86413,-122.314181,-53.496835482492294,31.2
1682782995.4349759,37.864211,-122.314241,-53.66063980356207,29.0
1682783000.9734728,37.864241,-122.314314,-53.79226754334064,30.0
1682783006.515518,37.864196,-122.314436,-53.27824139237791,24.6
1682783012.0981855,37.864088,-122.314606,-52.273196927421864,29.2
1682783017.6943152,37.864055,-122.314681,-52.7454987049293,23.8
1682783023.2267694,37.864089,-122.314765,-52.96954388350049,30.2
1682783028.8077006,37.864101,-122.314801,-53.14040464901237,32.2
1682783034.3711028,37.864095,-122.314853,-52.795251894852356,28.0
1682783039.9477246,37.864074,-122.314911,-52.824451347551474,29.8
1682783045.5607018,37.864068,-122.314963,-52.86927149192503,27.4
1682783051.1881676,37.864141,-122.314968,-52.92007615685063,31.4
1682783056.7496262,37.864231,-122.314976,-52.77892850684235,23.8
1682783062.3525436,37.864328,-122.315121,-52.14033312892229,31.2
1682783067.9337008,37.864328,-122.315121,-52.23766448565432,29.0
1682783073.5254452,37.864501,-122.315256,-52.974664227804,31.2
1682783079.1633182,37.864495,-122.315363,-53.22631611205948,31.8
1682783084.781354,37.864418,-122.315488,-53.34663990791094,30.0
1682783090.4537756,37.864565,-122.315503,-53.133640411750505,34.8
1682783096.2020366,37.864695,-122.315488,-53.09841825813203,30.8
1682783101.871546,37.864678,-122.315558,-53.330002411365044,32.8
1682783107.685884,37.864605,-122.315658,-53.2992425631584,32.6
1682783113.5797522,37.864498,-122.315745,-53.39004465082262,33.2
1682783119.4924245,37.864373,-122.315846,-53.50664637179598,28.4
1682783125.2403471,37.864278,-122.31597,-53.59148817687117,30.4
1682783130.91066,37.864218,-122.316119,-53.55295714000058,27.2
1682783136.5670226,37.864051,-122.316353,-53.766619636753035,28.8
